measureDescriptionID,sequence,extendedDescription,formula,textDescription
MD30,,,FT30,"The calculation of ei is given by MD28_1, MD28_2 and MD28_3 in one, two and three dimensions.
A criterion for the establishing of correspondence should also be stated (e.g. allowing for correspondence to the closest position, correspondence on vertices or along lines). The criterion/criteria for finding the corresponding points shall be reported with the data quality evaluation result."
MD31e,,,FT31,"The calculation of ei is given by MD28_1, MD28_2 and MD28_3 in one, two and three dimensions.
A criterion for the establishing of correspondence should also be stated (e.g. allowing for correspondence to the closest position, correspondence on vertices or along lines). The criterion/criteria for finding the corresponding points shall be reported with the data quality evaluation result."
MD31e,,,,25 % of the nodes within the data quality scope have error distance greater than 1 m.
MD32,1.0,,"FT32_1
FT32_2
FT32_3
FT32_4","The covariance matrix generalizes the concept of variance from one to n dimensions, i.e. from scalar-valued random variables to vector-valued random variables (tuples of scalar random variables)."
MD32,2.0,,"FT32_5
FT32_6","The covariance matrix generalizes the concept of variance from one to n dimensions, i.e. from scalar-valued random variables to vector-valued random variables (tuples of scalar random variables)."
MD32,3.0,,"FT32_7
FT32_8","The covariance matrix generalizes the concept of variance from one to n dimensions, i.e. from scalar-valued random variables to vector-valued random variables (tuples of scalar random variables)."
MD32,4.0,,"FT32_9
FT32_10","The covariance matrix generalizes the concept of variance from one to n dimensions, i.e. from scalar-valued random variables to vector-valued random variables (tuples of scalar random variables)."
MD39,,,FT39,Estimator of the true value of observable Z.
MD40,,-,"FT40_1
FT40_2
FT40_3
FT40_4
FT40_5
FT40_6
FT40_7
FT40_8",A manner of calculating the comparison of the data (source) and the control (reference).
MD41,,-,"FT41_1
FT41_2
FT41_3
FT41_4
FT41_5
FT41_6
FT41_7
FT41_8",A manner of calculating the comparison of the data (source) and the control (reference).
MD42,,,,"Radius describing a circle, in which the true point location lies with the probability of 39.4%."
MD47,,,FT47,Root mean square error of planimetry.
MD48,,-,"FT48_1
FT48_2
FT48_3
FT48_4
FT48_5
FT48_6","Absolute horizontal accuracy of the data coordinates, expressed in terms of circular error at 90 % probability given that a bias is present. A manner of calculating the comparison of the data (source) and the control (reference)."
MD49,,-,"FT49_1
FT49_2
FT49_3
FT49_4
FT49_5
FT49_6
FT49_7
FT49_8","Absolute horizontal accuracy of the data coordinates, expressed in terms of circular error at 90 % probability given that a bias is present. A manner of calculating the comparison of the data (source) and the control (reference)."
MD50,,,"FT50_1
FT50_2
FT50_3",Calculation of uncertainty ellipse parameters by eigenvalues from a given covariance matrix (https://standards.isotc211.org/19157/-1/1/dqc/content/qualityMeasure/32) of 2D point coordinates.
MD51,,,"FT51_1
FT51_2
FT51_3","Calculation of uncertainty ellipse parameters by eigenvalues from a given covariance matrix (https://standards.isotc211.org/19157/-1/1/dqc/content/qualityMeasure/32) of 2D point coordinates. 
With values for the <span class=""inline-formula""><math xmlns=""http://www.w3.org/1998/Math/MathML""> <msubsup> <mi>χ</mi> <mrow> <mn>1</mn> <mo>-</mo> <mi>α</mi> </mrow> <mn>2</mn> </msubsup> <mfenced> <mn>2</mn> </mfenced></math></span>-distribution of a 2D-confidence ellipse</div> <div class=""sts-p ""><span class=""inline-formula""><math id=""id-870f1e92-7dac-44c3-964d-aaca5be575df""> <mi>P</mi> <mo>=</mo> <mn>1</mn> <mo></mo> <mi>α</mi> <mo>=</mo> <mn>95</mn> <mo></mo> <mo>%</mo></math></span>5,99</div> <div class=""sts-p ""><span class=""inline-formula""><math id=""id-297effe3-a0bb-4b80-ab4c-cf739b483a55""> <mi>P</mi> <mo>=</mo> <mn>1</mn> <mo></mo> <mi>α</mi> <mo>=</mo> <mn>99</mn> <mo></mo> <mo>%</mo></math></span>9,21"
MD52,,,"FT52_1
FT52_2
FT52_3
FT52_4
FT52_5",A manner of calculating the comparison of the data (measured) and the control (true).
MD53,,,"FT53_1
FT53_2
FT53_3
FT53_4
FT53_5
FT53_6",A manner of calculating the comparison of the data (measured) and the control (true).
MD60,,,,Number of incorrectly classified features compared to the specification. Features and the classification method as defined in the specification.
MD61,,,,Number of incorrectly classified features compared to the specification. Features and the classification method as defined in the specification.
MD62,,62.png,,"The misclassification matrix (MCM) is a quadratic matrix with n columns and n rows. n denotes the number of classes under consideration.

MCM (i,j) = [# items of class (i) classified as class (j)] The diagonal elements of the misclassification matrix contain the correctly classified items, and the off diagonal elements contain the number of misclassification errors."
MD62e,,62e.png,,Example misclassification matrix.
MD63,,,,"The relative misclassification matrix (RMCM) is a quadratic matrix with n columns and n rows. n denotes the number of classes under consideration.
RMCM (i,j ) = [# items of class (i ) classified as class (j )] / (# items of class (i )] × 100 %"
MD63e,,63e.png,,Example relative misclassification matrix.
MD64,,,FT64,With the elements of the misclassification matrix (https://standards.isotc211.org/19157/-1/1/dqc/content/qualityMeasure/62).
MD65,,,,Count of all attribute values where the value is incorrect.
MD65e,,,,5 (5 geographical names are misspelled)
MD66,,,,Number of correct attribute values in relation to the total number of attribute values as described in the specification.
MD67,,,,Number of correct attribute values in relation to the total number of attribute values as described in the specification.
MD101,,,,The measure will take the value true if all the requirements in the referred data product specification are fulfilled.
MD102,,,,Indicator of the compliance with the data product specification.
MD103,,,,Indicator of the compliance with the data product specification.
MD104,,,,Indicator of the compliance with the data product specification.
MD105,,,,Indicator of the compliance with the data product specification.
MD119,,,,Indicator of the compliance with the data product specification.
MD119e,,,,"True (the dataset is stored in wrong file format, a shape file instead of gml)."
MD128,,,"FT128_1
FT128_2","For a number of points (N), the measured positions are given as xmi, ymi and zmi coordinates depending on the dimension in which the position of the point is measured. A corresponding coordinates xti, yti and zti are considered to represent true positions. A criterion for the establishing of correspondence should also be stated (e.g. allowing for correspondence to the closest position, correspondence on vertices or along lines). The criterion/criteria for finding the corresponding points shall be reported with the data quality evaluation result."
MD119,,,,The value true indicates physical structure conflict.
MD159,,,,True indicates that there are events incorrectly ordered.
MD159e,,,,True (5 historical events are present in the dataset but are not ordered correctly).
MD201,,,,Rate of items in a common area representing the same real world object with different coordinates in two different datasets according to a specified tolerance.
MD201e,,201e.png,,"Rate of objects not in conformity to the tolerance.
In a common area for two datasets the coordinates compare to each other, an error is outside the tolerance.
Key: 1 Search tolerance 0,3 meter"
MD202,,,,"The principle of geometric fidelity is that any real world alignment or shape, when viewed at the source survey scale, shall be accurately reflected in the data to the required specification."
MD202e,,202e.png,,"Count error not in compliance with the definition of feature type in the Data Product Specification, DPS In the specification a house shall be stored with perpendicular corners if the real world house is perpendicular."
MD203,,,,"The principle of geometric fidelity is that any real world alignment or shape, when viewed at the source survey scale, shall be accurately reflected in the data to the required specification."
MD204,,,,"All child polygons must be located inside the parent polygon. Reports the number of child polygons not inside the parent polygon. A set of features instances (set of child’s) which completely, covers the testbed feature."
MD204e,,204e.png,,Parent polygon dashed (quadrat) filled currently with child polygons (colored) Reporting by parent polygons.
MD205,,,,The update frequency as shown in metadata.
MD205e,,,,It is ‘true’ if the value for an address has been updated in the database within user defined AQL (e.g. 5 days) since the decision on its change.
MD206,,,,Mean time from when an object has been changed until its updated in the data base.
MD206e,,,,Tests if a particular quality scope is updated according to its given maintenance and update frequency e.g. “Annually”. Value: yes or no.
MD207,,,,User defined acceptance quality level.
MD207e,,,,The timetable of a railway station shall be updated with the frequency required to allow passengers to take a train even if the scheduled time or platform change.
MDsd1,,,FTsd1,Standard deviation - true value known.
MDsd2,,,FTsd2,Standard deviation - true value unknown and it is estimated as the arithmetic mean of the observations.
MDsd1_LE50,,,FTsd1_LE50,Standard deviation - true value known; significance level 50%.
MDsd1_LE68.3,,,FTsd1_LE68.3,Standard deviation - true value known; significance level 68.3%.
MDsd1_LE90,,,FTsd1_LE90,Standard deviation - true value known; significance level 90%.
MDsd1_LE95,,,FTsd1_LE95,Standard deviation - true value known; significance level 95%.
MDsd1_LE99,,,FTsd1_LE99,Standard deviation - true value known; significance level 99%.
MDsd1_CE99.8,,,FTsd1_LE99.8,Standard deviation - true value known; significance level 99.8%.
MDsd2_LE50r1,,,FTsd2_LE50r1,Standard deviation - true value unknown; significance level 50%; 1 redundant measurement.
MDsd2_LE50r2,,,FTsd2_LE50r2,Standard deviation - true value unknown; significance level 50%; 2 redundant measurements.
MDsd2_LE50r3,,,FTsd2_LE50r3,Standard deviation - true value unknown; significance level 50%; 3 redundant measurements.
MDsd2_LE50r4,,,FTsd2_LE50r4,Standard deviation - true value unknown; significance level 50%; 4 redundant measurements.
MDsd2_LE50r5,,,FTsd2_LE50r5,Standard deviation - true value unknown; significance level 50%; 5 redundant measurements.
MDsd2_LE50r10,,,FTsd2_LE50r10,Standard deviation - true value unknown; significance level 50%; 10 redundant measurements.
MDsd2_LE68.3r1,,,FTsd2_LE68.3r1,Standard deviation - true value unknown; significance level 68.3%; 1 redundant measurement.
MDsd2_LE68.3r2,,,FTsd2_LE68.3r2,Standard deviation - true value unknown; significance level 68.3%; 2 redundant measurements.
MDsd2_LE68.3r3,,,FTsd2_LE68.3r3,Standard deviation - true value unknown; significance level 68.3%; 3 redundant measurements.
MDsd2_LE68.3r4,,,FTsd2_LE68.3r4,Standard deviation - true value unknown; significance level 68.3%; 4 redundant measurements.
MDsd2_LE68.3r5,,,FTsd2_LE68.3r5,Standard deviation - true value unknown; significance level 68.3%; 5 redundant measurements.
MDsd2_LE68.3r10,,,FTsd2_LE68.3r10,Standard deviation - true value unknown; significance level 68.3%; 10 redundant measurements.
MDsd2_LE90r1,,,FTsd2_LE90r1,Standard deviation - true value unknown; significance level 90%; 1 redundant measurement.
MDsd2_LE90r2,,,FTsd2_LE90r2,Standard deviation - true value unknown; significance level 90%; 2 redundant measurements.
MDsd2_LE90r3,,,FTsd2_LE90r3,Standard deviation - true value unknown; significance level 90%; 3 redundant measurements.
MDsd2_LE90r4,,,FTsd2_LE90r4,Standard deviation - true value unknown; significance level 90%; 4 redundant measurements.
MDsd2_LE90r5,,,FTsd2_LE90r5,Standard deviation - true value unknown; significance level 90%; 5 redundant measurements.
MDsd2_LE90r10,,,FTsd2_LE90r10,Standard deviation - true value unknown; significance level 90%; 10 redundant measurements.
MDsd2_LE95r1,,,FTsd2_LE95r1,Standard deviation - true value unknown; significance level 95%; 1 redundant measurement.
MDsd2_LE95r2,,,FTsd2_LE95r2,Standard deviation - true value unknown; significance level 95%; 2 redundant measurements.
MDsd2_LE95r3,,,FTsd2_LE95r3,Standard deviation - true value unknown; significance level 95%; 3 redundant measurements.
MDsd2_LE95r4,,,FTsd2_LE95r4,Standard deviation - true value unknown; significance level 95%; 4 redundant measurements.
MDsd2_LE95r5,,,FTsd2_LE95r5,Standard deviation - true value unknown; significance level 95%; 5 redundant measurements.
MDsd2_LE95r10,,,FTsd2_LE95r10,Standard deviation - true value unknown; significance level 95%; 10 redundant measurements.
MDsd2_LE99r1,,,FTsd2_LE99r1,Standard deviation - true value unknown; significance level 99%; 1 redundant measurement.
MDsd2_LE99r,,,FTsd2_LE99r2,Standard deviation - true value unknown; significance level 99%; 2 redundant measurements.
MDsd2_LE99r3,,,FTsd2_LE99r3,Standard deviation - true value unknown; significance level 99%; 3 redundant measurements.
MDsd2_LE99r4,,,FTsd2_LE99r4,Standard deviation - true value unknown; significance level 99%; 4 redundant measurements.
MDsd2_LE99r5,,,FTsd2_LE99r5,Standard deviation - true value unknown; significance level 99%; 5 redundant measurements.
MDsd2_LE99r10,,,FTsd2_LE99r10,Standard deviation - true value unknown; significance level 99%; 10 redundant measurements.
MDsd2_LE99.8r1,,,FTsd2_LE99.8r1,Standard deviation - true value unknown; significance level 99.8%; 1 redundant measurement.
MDsd2_LE99.8r2,,,FTsd2_LE99.8r2,Standard deviation - true value unknown; significance level 99.8%; 2 redundant measurements.
MDsd2_LE99.8r3,,,FTsd2_LE99.8r3,Standard deviation - true value unknown; significance level 99.8%; 3 redundant measurements.
MDsd2_LE99.8r4,,,FTsd2_LE99.8r4,Standard deviation - true value unknown; significance level 99.8%; 4 redundant measurements.
MDsd2_LE99.8r5,,,FTsd2_LE99.8r5,Standard deviation - true value unknown; significance level 99.8%; 5 redundant measurements.
MDsd2_LE99.8r10,,,FTsd2_LE99.8r10,Standard deviation - true value unknown; significance level 99.8%; 10 redundant measurements.
MDsd1x,,,FTsd1x,Standard deviation 2D - true value known; direction x.
MDsd1y,,,FTsd1y,Standard deviation 2D - true value known; direction y.
MDs1z,,,FTsd1z,Standard deviation 2D - true value known; direction z.
MDsd1xy_CE39.4,,,FTsd1xy_CE39.4,Standard deviation 2D - true value known; significance level 39.4%.
MDsd1xy_CE50,,,FTsd1xy_CE50,Standard deviation 2D - true value known; significance level 50%.
MDsd1xy_CE90,,,FTsd1xy_CE90,Standard deviation 2D - true value known; significance level 90%.
MDsd1xy_CE95,,,FTsd1xy_CE95,Standard deviation 2D - true value known; significance level 95%.
MDsd1xy_CE99.8,,,FTsd1xy_CE99.8,Standard deviation 2D - true value known; significance level 99.8%.
MDsd1xyz_SEP,,,FTsd1xyz_SEP,Standard deviation 3D - true value known; Spherical error probable; significance level 50%.
MDsd1xyz_MRSE,,,FTsd1xyz_MRSE,Standard deviation 3D - true value known; Mean spherical error; significance level 61%.
MDsd1xyz_SAS90,,,FTsd1xyz_SAS90,Standard deviation 3D - true value known; spherical accuracy standard; significance level 90%.
MDsd1xyz_SAS99,,,FTsd1xyz_SAS99,Standard deviation 3D - true value known; spherical accuracy standard; significance level 99%.
MD208,1.0,,FT208_P,"If reference data is in point geometry:
Where n is the total number of reference point features that are not captured by the coverage of source data, and N is the total number of reference point features."
MD208,2.0,,FT208_L,"If reference data is in line geometry:
Where l’ is the length of each segment of reference data that is not captured by the coverage of the source data, n is the total number of uncovered segments, and L is the total length of all reference line features. "
MD208,3.0,,FT208_A,"If reference data is in polygon geometry:
Where a is the area of each segment of reference data that is not captured by the coverage of the source data, n is the total number of uncovered segments, and A is the total area of all reference polygon features."
MD208e,,MD208e.png,,"Calculate the rate of omission of street view imagery (SVI) coverage using street network as the reference data. In the example, street view imagery is represented as points (circular dots in the figure), and the reference street network consists of seven line features of length L1, L2, … L7. 
Step 1: Snap each point to the nearest location on the street it is closest to. Snapped locations are marked by red crosses in the figure.
Step 2: Split the lines at the snapped locations and calculate the length of each split segment. Segments with a length longer than a certain threshold (e.g. 50 m) where no SVI is found are deemed as uncovered. In this example, we identify four segments with lengths l 1, l 2, l 3, and l 4 as uncovered segments.
Step 3: Rate of omission is thus calculated as the sum of lengths of uncovered segments, divided by the sum of lengths of all segments.
The example demonstrates a way to calculate the omission rate for the whole dataset. Besides, the omission rate can also be calculated at a finer spatial scale, i.e. for each geometry unit. For instance, it can be calculated at the street level, where the omission rate is calculated for each street segment."
MD208e2,,MD208e2.png,,"Calculate the rate of omission of street view imagery coverage against a reference area. The street view imagery is represented as constructed buffers of imagery points with a radius, and the reference area is a rectangular grid cell of area A1."
MD209,,MD209e.png,,"The number of intervals with a distance longer than a certain threshold, divided by the total number of intervals present in the data. "
MD209e,,,FT208_P,"In this example, there are three sequences of data, S1, S2, and S3. There are eight points in S1 and the interval distance between each pair of consecutive points is measured as d1, d2, … d7. Similarly, d8 and d9 are measured for S2 and d10, d11, and d12 for S3. Among these distances, d3, d5, and d6 are above a specified threshold (e.g. 50 m) indicating lack of continuity in spatial coverage.
The rate of spatial discontinuity in this example is thus calculated as:
where n is the number of intervals with a distance above the threshold, and N is the total number of intervals in the data."
MD210,,,FT210,"The amount of time (e.g. number of years, number of months, number of days, number of hours etc.) during which no data is present, divided by the total amount of time during which data is supposed to be present."
MD211,,,,"Quantity of data that suffers from imperfect coverage, divided by the total quantity of data."
MD211e,,MD211e.png,,"There are 15 street view images in the data. After running a computer vision algorithm to detect blurriness in images, three have been detected as blurry images. "
MD212,,,,"The number of records with data present, divided by the total number of records that are supposed to be present."
MD212e,,MD212e.png,,"There are five instances in the data, and each of them is supposed to have three metadata attributes – Attributes A, B, and C. Symbol ‘x’ in the table indicates a certain metadata is available for the instance
In total, there are 5 empty records, out of 15 (5 × 3) records that are supposed to be available. The rate of metadata omission is thus calculated as 5/15 = 0.333.
The rate of omission can also be calculated for each metadata attribute A, B and C."
MD213,,,,"The quantity of data where sensitive information is present, divided by the total quantity of data."
MD213e,,MD213e.png,,"There are five street view images in the data. It is found in Image 3 that there is one unmasked human face, and in Image 2 that there are two unmasked car plate licences. The rate of occurrence of sensitive information in this data is thus calculated as n/N where n is the number of data instances with sensitive information found, and N is the total number of data instances."
MDBM1,,,,Boolean value expressing the item is indicated an error.
MDBM2,,,,The data product specification shall describe the features and which items shall be collected.
MDBM3,,,,The data product specification shall describe the features and how items shall be typed.
MDBM4,,,,Boolean value expressing the item is correct.
MDBM5,,,,The data product specification shall describe the features and how items shall be typed.
MDBM6,,,,The data product specification shall describe the features and which items shall be collected.
