Measure Identifier,name,alias,elementName,basicMeasure,definition,description,parameter,Value type,Value structure,Source reference,example,Version,Status
54,"time accuracy at 68,3 % significance level",-,accuracy of a time measurement,"LE68.3
LE68.3r","half length of the interval defined by an upper and a lower limit, in which the true value for the time instance lies with probability 68,3 %","MDsd1_LE68.3
MDsd2_LE68.3r1
MDsd2_LE68.3r2
MDsd2_LE68.3r3
MDsd2_LE68.3r4
MDsd2_LE68.3r5
MDsd2_LE68.3r10",-,Measure,-,-,-,1.0,
55,time accuracy at 50 % significance level,-,accuracy of a time measurement,"LE50
LE50r","half length of the interval defined by an upper and a lower limit, in which the true value for the time instance lies with probability 50 %","MDsd1_LE50
MDsd2_LE50r1
MDsd2_LE50r2
MDsd2_LE50r3
MDsd2_LE50r4
MDsd2_LE50r5
MDsd2_LE50r10",-,Measure,-,-,-,1.0,
56,time accuracy at 90 % significance level,-,accuracy of a time measurement,"LE90
LE90r","half length of the interval defined by an upper and a lower limit, in which the true value for the time instance lies with probability 90 %","MDsd1_LE90
MDsd2_LE90r1
MDsd2_LE90r2
MDsd2_LE90r3
MDsd2_LE90r4
MDsd2_LE90r5
MDsd2_LE90r10",MP35,Measure,-,-,-,1.0,
57,time accuracy at 95 % significance level,-,accuracy of a time measurement,"LE95
LE95r","half length of the interval defined by an upper and a lower limit, in which the true value for the time instance lies with probability 95 %","MDsd1_LE95
MDsd2_LE95r1
MDsd2_LE95r2
MDsd2_LE95r3
MDsd2_LE95r4
MDsd2_LE95r5
MDsd2_LE95r10",MP35,Measure,-,-,-,1.0,
58,time accuracy at 99 % significance level,-,accuracy of a time measurement,"LE99
LE99r","half length of the interval defined by an upper and a lower limit, in which the true value for the time instance lies with probability 99 %","MDsd1_LE99
MDsd2_LE99r1
MDsd2_LE99r2
MDsd2_LE99r3
MDsd2_LE99r4
MDsd2_LE99r5
MDsd2_LE99r10",MP35,Measure,-,-,-,1.0,
59,"time accuracy at 99,8 % significance level",-,accuracy of a time measurement,"LE99.8 
LE99.8r","half length of the interval defined by an upper and a lower limit, in which the true value for the time instance lies with probability 99,8 %","MDsd1_LE99.8
MDsd2_LE99.8r1
MDsd2_LE99.8r2
MDsd2_LE99.8r3
MDsd2_LE99.8r4
MDsd2_LE99.8r5
MDsd2_LE99.8r10",-,Measure,-,-,-,1.0,valid
60,number of incorrectly classified features,-,classification correctness,BM3,number of incorrectly classified features,MD60,-,Integer,-,-,-,1.0,valid
61,misclassification rate,-,classification correctness,BM2,number of incorrectly classified features relative to the number of features that should be there,MD61,-,Real,-,-,-,1.0,valid
62,misclassification matrix,confusion matrix,classification correctness,-,matrix that indicates the number of items of class (i) classified as class (j),MD62,MP2,Integer,Matrix (n × n),,MD62e,1.0,valid
63,relative misclassification matrix,-,classification correctness,-,matrix that indicates the number of items of class (i ) classified as class (j ) divided by the number of items of class (i ),MD63,"MP63_1
MP63_2
MP63_3",Real,Matrix (n × n),-,MD63e,1.0,valid
64,kappa coefficient,-,classification correctness,-,coefficient to quantify the proportion of agreement of assignments to classes by removing misclassifications,MD64,MP2,Real,-,-,-,1.0,
65,number of incorrect attribute values,-,non-quantitative attribute correctness,BM3,total number of erroneous attribute values within the relevant part of the dataset,MD65,-,Integer,-,-,MD65e,1.0,valid
66,rate of correct attribute values,-,non-quantitative attribute correctness,BM6,number of correct attribute values in relation to the total number of attribute values,MD66,-,Real,-,-,-,1.0,valid
67,rate of incorrect attribute values,-,non-quantitative attribute correctness,BM2,number of attribute values where incorrect values are assigned in relation to the total number of attribute values,MD67,-,Real,-,-,-,1.0,valid
68,"attribute value uncertainty at 68,3 % significance level",-,quantitative attribute accuracy,"LE68.3
LE68.3r","half length of the interval defined by an upper and a lower limit, in which the true value for the quantitative attribute lies with probability 68,3 %","MDsd1_LE68.3
MDsd2_LE68.3r1
MDsd2_LE68.3r2
MDsd2_LE68.3r3
MDsd2_LE68.3r4
MDsd2_LE68.3r5
MDsd2_LE68.3r10",MP68,Measure,-,-,-,1.0,valid
69,attribute value uncertainty at 50 % significance level,-,quantitative attribute accuracy,"LE50
LE50r","half length of the interval defined by an upper and a lower limit, in which the true value for the quantitative attribute lies with probability 50 %","MDsd1_LE50
MDsd2_LE50r1
MDsd2_LE50r2
MDsd2_LE50r3
MDsd2_LE50r4
MDsd2_LE50r5
MDsd2_LE50r10",MP69,Measure,-,-,-,1.0,valid
70,attribute value uncertainty at 90 % significance level,-,quantitative attribute accuracy,"LE90
LE90r","half length of the interval defined by an upper and a lower limit, in which the true value for the quantitative attribute lies with probability 90 %","MDsd1_LE90
MDsd2_LE90r1
MDsd2_LE90r2
MDsd2_LE90r3
MDsd2_LE90r4
MDsd2_LE90r5
MDsd2_LE90r10",MP35,Measure,-,-,-,1.0,valid
71,attribute value uncertainty at 95 % significance level,-,quantitative attribute accuracy,"LE95
LE95r","half length of the interval defined by an upper and a lower limit, in which the true value for the quantitative attribute lies with probability 95 %","MDsd1_LE95
MDsd2_LE95r1
MDsd2_LE95r2
MDsd2_LE95r3
MDsd2_LE95r4
MDsd2_LE95r5
MDsd2_LE95r10",MP36,Measure,-,-,-,1.0,valid
72,attribute value uncertainty at 99 % significance level,-,quantitative attribute accuracy,"LE99
LE99r","half length of the interval defined by an upper and a lower limit, in which the true value for the quantitative attribute lies with probability 99 %","MDsd1_LE99
MDsd2_LE99r1
MDsd2_LE99r2
MDsd2_LE99r3
MDsd2_LE99r4
MDsd2_LE99r5
MDsd2_LE99r10",MP37,Measure,-,-,-,1.0,valid
73,"Attribute value uncertainty at 99,8 % significance level",-,quantitative attribute accuracy,LE99.8 LE99.8r,"half length of the interval defined by an upper and a lower limit, in which the true value for the quantitative attribute lies with probability 99,8 %","MDsd1_LE99.8
MDsd2_LE99.8r1
MDsd2_LE99.8r2
MDsd2_LE99.8r3
MDsd2_LE99.8r4
MDsd2_LE99.8r5
MDsd2_LE99.8r10",MP38,Measure,-,-,-,1.0,valid
101,data product specification passed,-,conceptual consistency,BM4,indication that all requirements in the referred data product specification are fulfilled,MD101,-,Boolean ,-,-,-,1.0,valid
102,data product specification fail count,-,conceptual consistency,BM3,number of data product specification requirements that are not fulfilled by the current product/dataset,MD102,-,Integer,-,-,-,1.0,valid
103,data product specification pass count,-,conceptual consistency,BM5,number of the data product specification requirements that are fulfilled by the current product/dataset,MD103,-,Integer,-,-,-,1.0,valid
104,data product specification fail rate,-,conceptual consistency,BM2,number of the data product specification requirements that are not fulfilled by the current product/dataset in relation to the total number of data product specification requirements,MD104,-,Real,-,-,-,1.0,valid
105,data product specification pass rate,-,conceptual consistency,BM6,number of the data product specification requirements that are fulfilled by the current product/dataset in relation to the total number of data product specification requirements,MD105,-,Real,-,-,-,1.0,valid
119,physical structure conflicts,-,format consistency,BM1,indication that items are stored in conflict with the physical structure of the dataset,MD119,-,Boolean,-,-,MD119e,1.0,retired
128,"bias of positions (1D, 2D and 3D)",-,absolute or external accuracy,not applicable,bias of the positions for a set of positions where the positional uncertainties are defined as the deviation between a measured position and what is accepted as the corresponding true position,MD128,-,Real,-,-,-,1.0,valid
159,chronological disorder,-,conceptual consistency,BM1,indication that events is incorrectly ordered against the other events,MD159,-,Boolean ,-,-,MD159e,1.0,valid
201,rate of geometric inconsistency,-,conceptual consistency,BM2,rate of items in a common area representing the same real world object with different coordinates in two different datasets according to a tolerance,MD201,MP201,Real,,,,0.1,submitted
202,count of geometric fidelity failure,-,conceptual consistency,BM3,Number of differences between registered geometry in the dataset and the actual geometry of the real world object,MD202,geometry rules,Integer,-,-,MD202e,0.1,submitted
203,rate of geometric fidelity failure,-,conceptual consistency,BM2,error rate of difference between registered geometry in the dataset and the actual geometry of the real world object,MD203,geometry rules,Rate,-,SR2,-,0.1,submitted
204,Complete tessellation,Tessellation complete,topological consistency,BM2,Total number of erroneous polygons within the data,MD204,MP204,Real,-,SR3,MD204e,0.1,submitted
205,user defined maintenance frequency,-,temporal validity,BM4,"evaluation of acceptance quality limit, AQL for user defined maintenance frequency from a feature has changed in the real world until it is updated in the database",MD205,MP205,Boolean,-,-,MD205e,0.1,submitted
206,maintenance frequency,-,temporal validity,BM4,evaluation if a dataset is maintained as set by maintenance frequency,MD206,MP206,Boolean,-,SR4,MD206e,0.1,submitted
207,currentness,-,temporal validity,BM6,degree to which data has attributes that are of the right age in a specific context of use [25012:2008],MD207,MP207,Real,-,-,M207e,0.1,submitted
208,rate of omission for spatial coverage,-,omission,,percentage of reference feature geometry where data is absent,MD208,-,Real,-,SR5,"MD208e
MD208e2",0.1,submitted
209,rate of spatial discontinuity,-,omission,,the quantity of spatially discontinuous data in relation to the total quantity of data,MD209,-,Real,-,SR5,MD209e,0.1,submitted
210,rate of omission for temporal coverage,-,omission,,the temporal duration without data in relation to the total temporal duration in which data is supposed to be present ,MD210,-,Real,-,SR5,,0.1,submitted
211,rate of imperfect coverage,-,omission,,the percentage of data that fails to provide full coverage due to certain quality issues ,MD211,-,Real,-,SR5,MD211e,0.1,submitted
212,rate of omission for metadata,-,omission,,the quantity of missing metadata in relation to the total quantity of metadata that are supposed to be present ,MD212,-,Real,,SR5,,0.1,submitted
213,rate of occurrence of sensitive information,-,omission,,the percentage of data where sensitive information is present,MD213,-,Real,,SR5,MD213e,0.1,submitted
